Log_Date,Log_Time,Time,Depth,Ax,Ay,Az,pitch,roll,yaw,velocity,distance
20.05.2026,04:29:01,5346,0.029661,0,0,0,0,0,0,0,0
20.05.2026,04:29:01,5400,0.026592,0,0,0,0,0,0,0,0
20.05.2026,04:29:01,5454,0.031706,0,0,0,0,0,0,0,0
20.05.2026,04:29:01,5508,0.031706,0,0,0,0,0,0,0,0
20.05.2026,04:29:01,5562,0.02557,0,0,0,0,0,0,0,0
20.05.2026,04:29:01,5616,0.024547,0,0,0,0,0,0,0,0
20.05.2026,04:29:01,5832,0.021478,0,0,0,0,0,0,0,0
20.05.2026,04:29:01,5886,0.020456,0,0,0,0,0,0,0,0
20.05.2026,04:29:01,5940,0.024547,0,0,0,0,0,0,0,0
20.05.2026,04:29:01,5994,0.016365,0,0,0,0,0,0,0,0
20.05.2026,04:29:01,6048,0.029661,0,0,0,0,0,0,0,0
20.05.2026,04:29:01,6102,0.028638,0,0,0,0,0,0,0,0
20.05.2026,04:29:01,6156,0.02557,0,0,0,0,0,0,0,0
20.05.2026,04:29:01,6210,0.022501,0,0,0,0,0,0,0,0
20.05.2026,04:29:01,6264,0.023524,0,0,0,0,0,0,0,0
20.05.2026,04:29:01,6318,0.038866,0,0,0,0,0,0,0,0
20.05.2026,04:29:01,6372,0.028638,0,0,0,0,0,90,0,0
20.05.2026,04:29:01,6426,0.026592,0,0,0,0,0,90,0,0
20.05.2026,04:29:01,6480,0.031706,0.1,0.01,0.16,0,0.0625,89.75,0.003876,0.000098
20.05.2026,04:29:01,6534,0.028638,-0.05,0.05,0.18,-3.6875,36.3125,89.6875,0.012405,0.00069
20.05.2026,04:29:01,6588,0.024547,-0.04,0.07,0.16,-3.75,36.375,89.625,0.018224,0.001674
20.05.2026,04:29:01,6642,0.028638,0.03,0.1,0.1,-3.8125,36.4375,89.5,0.023204,0.002968
20.05.2026,04:29:01,6696,0.026592,0.02,0.09,0.21,-3.9375,36.375,89.3125,0.026623,0.003998
20.05.2026,04:29:01,6750,0.031706,-0.01,0.11,0.15,-3.9375,36.375,89.1875,0.031905,0.005806
20.05.2026,04:29:01,6804,0.027615,0.01,0.08,0.14,-4.0625,36.5,88.875,0.037803,0.007954
20.05.2026,04:29:01,6858,0.019433,-0.06,0.07,0.07,-4.1875,36.5625,88.375,0.041518,0.009579
20.05.2026,04:29:01,6912,0.030684,0,0.07,0.13,-4.375,36.6875,88.0625,0.046392,0.012267
20.05.2026,04:29:01,6966,0.032729,-0.08,0.04,0.19,-4.5625,36.8125,87.5,0.050822,0.01523
20.05.2026,04:29:01,7020,0.013296,0.04,-0.02,0.2,-4.625,36.875,40.75,0.053158,0.017335
20.05.2026,04:29:01,7074,0.034775,0.02,-0.06,0.21,-4.6875,37.0625,40.25,0.054505,0.020592
20.05.2026,04:29:01,7128,0.027615,0,-0.08,0.12,-4.75,37.1875,39.5,0.053281,0.023824
20.05.2026,04:29:01,7182,0.020456,0.05,-0.1,0.2,-4.6875,37.25,39.25,0.050144,0.026902
20.05.2026,04:29:01,7236,0.020456,0,-0.09,0.26,-4.6875,37.3125,38.9375,0.04732,0.028824
20.05.2026,04:29:01,7290,0.030684,0.03,-0.06,0.18,-4.6875,37.375,38.75,0.042821,0.031482
20.05.2026,04:29:01,7344,0.021478,0.06,-0.07,0.13,-4.625,37.4375,38.75,0.038647,0.033884
20.05.2026,04:29:01,7398,0.020456,0.06,-0.08,0.12,-4.5,37.5,38.8125,0.035714,0.035343
20.05.2026,04:29:01,7452,0.029661,0.12,-0.07,0.11,-4.375,37.5625,39.0625,0.03113,0.037302
20.05.2026,04:29:01,7506,0.033752,0.07,-0.05,0.07,-4.3125,37.625,39.0625,0.02676,0.038993
20.05.2026,04:29:01,7560,0.030684,0.16,0,0.1,-4.1875,37.6875,39.25,0.024618,0.039997
20.05.2026,04:29:01,7614,0.032729,0.22,0,0.08,-4.1875,37.75,39.3125,0.022853,0.041398
20.05.2026,04:29:01,7668,0.02557,0,0.02,0.15,-4.1875,37.6875,39.375,0.022411,0.042745
20.05.2026,04:29:01,7722,0.037843,0.09,0,0.1,-4.125,37.8125,39.5,0.022673,0.0441
20.05.2026,04:29:01,7776,0.031706,0.01,-0.04,0.16,-4.1875,37.75,39.5,0.022711,0.045009
20.05.2026,04:29:01,7830,0.022501,0.2,0,0.11,-4.1875,37.6875,39.5,0.021898,0.046342
20.05.2026,04:29:01,7884,0.01841,0.11,0.06,0.14,-4.25,37.5,39.5,0.021609,0.047637
20.05.2026,04:29:01,7938,0.024547,0.05,0.03,0.11,-4.3125,37.375,39.5,0.022362,0.048523
20.05.2026,04:29:01,7992,0.035797,-0.01,-0.02,0.16,-4.4375,37.125,39.5,0.023683,0.049919
20.05.2026,04:29:01,8046,0.026592,0.12,-0.05,0,-4.625,37.125,270,0,0.050398
20.05.2026,04:29:01,8100,0.038866,0.19,-0.14,-0.04,-4.75,37.0625,269.9375,0,0.050398
20.05.2026,04:29:01,8154,0.024547,0,-0.15,0.21,-4.875,36.75,270,-0.00377,0.050262
20.05.2026,04:29:01,8208,0.032729,-0.09,-0.03,0.16,-4.9375,36.6875,270.0625,-0.009167,0.049814
20.05.2026,04:29:01,8262,0.024547,0.06,0.09,0.03,-5,36.6875,270.25,-0.011596,0.049149
20.05.2026,04:29:01,8316,0.029661,0.08,0,0.09,-4.8125,36.625,270.5,-0.011265,0.048692
20.05.2026,04:29:01,8370,0.014319,0.12,-0.04,0.1,-4.75,36.625,270.625,-0.010414,0.048055
20.05.2026,04:29:01,8424,0.035797,0,-0.02,0.16,-4.625,36.5625,270.75,-0.011173,0.047406
20.05.2026,04:29:01,8478,0.028638,0,0.08,0.09,-4.625,36.375,270.9375,-0.011511,0.046947
20.05.2026,04:29:01,8532,0.031706,0.04,0.07,0.08,-4.5625,36.3125,271,-0.010169,0.0463
20.05.2026,04:29:01,8586,0.020456,0.01,0.01,0.01,-4.5625,36.1875,271.1875,-0.008061,0.045776
20.05.2026,04:29:01,8640,0.02557,-0.03,0.04,0.12,-4.4375,36.125,271.375,-0.007011,0.045486
20.05.2026,04:29:01,8694,0.034775,0,0.06,0,-4.375,36.125,271.4375,-0.005325,0.04513
20.05.2026,04:29:01,8748,0.023524,0.11,0.02,0.1,-4.375,36.1875,271.5,0,0.045039
20.05.2026,04:29:01,8802,0.026592,0.06,0.04,0.06,-4.375,36.125,271.5625,0,0.045039
20.05.2026,04:29:01,8856,0.020456,0.02,0,0.16,-4.4375,36.125,271.625,0,0.045039
