Log_Date,Log_Time,Time,Depth,Ax,Ay,Az,pitch,roll,yaw,velocity,distance
10.05.2026,17:18:50,33264,0,0,0,0,0,0,0,0,0
10.05.2026,17:18:50,33318,0,0,0,0,0,0,0,0,0
10.05.2026,17:18:50,33372,0,0,0,0,0,0,0,0,0
10.05.2026,17:18:50,33426,0,0,0,0,0,0,0,0,0
10.05.2026,17:18:50,33480,0,0,0,0,0,0,0,0,0
10.05.2026,17:18:50,33534,0,0,0,0,0,0,0,0,0
10.05.2026,17:18:50,33750,0,0,0,0,0,0,0,0,0
10.05.2026,17:18:50,33804,0,0,0,0,0,0,0,0,0
10.05.2026,17:18:50,33858,0,0,0,0,0,0,0,0,0
10.05.2026,17:18:50,33912,0,0,0,0,0,0,0,0,0
10.05.2026,17:18:50,33966,0,0,0,0,0,0,0,0,0
10.05.2026,17:18:50,34020,0,0,0,0,0,0,0,0,0
10.05.2026,17:18:50,34074,0,0,0,0,0,0,0,0,0
10.05.2026,17:18:50,34128,0,0,0,0,0,0,0,0,0
10.05.2026,17:18:50,34182,0,0,0,0,0,0,0,0,0
10.05.2026,17:18:50,34236,0,0,0,0,0,0,0,0,0
10.05.2026,17:18:50,34290,0,0,0,0,0,0,90,0,0
10.05.2026,17:18:50,34344,0,1.58,-0.31,-0.47,0,0,90,0,0
10.05.2026,17:18:50,34398,0,-0.04,0,-0.32,0,0,90,0,0
10.05.2026,17:18:50,34452,0,-0.04,0.01,-0.34,1.9375,9.625,90,0,0
10.05.2026,17:18:50,34506,0,-0.05,0,-0.3,1.9375,9.625,90,0,0
10.05.2026,17:18:50,34560,0,-0.06,0,-0.33,1.9375,9.625,90,0,0
10.05.2026,17:18:50,34614,0,-0.08,0.02,-0.31,1.9375,9.625,90,0,0
10.05.2026,17:18:50,34668,0,-0.03,0,-0.29,1.9375,9.625,90,0,0
10.05.2026,17:18:50,34722,0,-0.06,0,-0.32,1.9375,9.625,90.0625,0,0
10.05.2026,17:18:50,34776,0,-0.04,0.01,-0.33,1.9375,9.625,90.0625,0,0
10.05.2026,17:18:50,34830,0,-0.04,0,-0.31,1.9375,9.625,90.0625,0,0
10.05.2026,17:18:50,34884,0,-0.07,0,-0.3,1.9375,9.625,90.0625,0,0
10.05.2026,17:18:50,34938,0,-0.1,0,-0.31,1.9375,9.625,96.5625,0,0
10.05.2026,17:18:50,34992,0,-0.04,0,-0.37,1.9375,9.625,96.5625,0,0
10.05.2026,17:18:50,35046,0,-0.09,0,-0.35,1.9375,9.625,96.625,0,0
10.05.2026,17:18:50,35100,0,-0.07,0.01,-0.31,1.9375,9.625,96.625,0,0
10.05.2026,17:18:50,35154,0,-0.08,0,-0.3,1.9375,9.625,96.5,0,0
10.05.2026,17:18:50,35208,0,-0.07,0.01,-0.32,1.9375,9.625,96.4375,0,0
10.05.2026,17:18:50,35262,0,-0.05,0,-0.3,1.9375,9.625,96.4375,0,0
10.05.2026,17:18:50,35316,0,-0.05,0,-0.32,1.9375,9.625,96.4375,0,0
10.05.2026,17:18:50,35370,0,-0.06,0,-0.32,1.9375,9.625,96.3125,0,0
10.05.2026,17:18:50,35424,0,-0.06,0,-0.36,1.9375,9.625,96.3125,0,0
10.05.2026,17:18:50,35478,0,-0.05,0.01,-0.33,1.9375,9.625,96.3125,0,0
10.05.2026,17:18:50,35532,0,-0.05,0,-0.28,1.9375,9.625,96.4375,0,0
10.05.2026,17:18:50,35586,0,-0.05,0.01,-0.27,1.9375,9.625,96.5,0,0
10.05.2026,17:18:50,35640,0,-0.06,0,-0.26,1.9375,9.625,96.4375,0,0
10.05.2026,17:18:50,35694,0,-0.07,0,-0.27,1.9375,9.625,96.4375,0,0
10.05.2026,17:18:50,35748,0,-0.06,0,-0.27,1.9375,9.625,96.375,0,0
10.05.2026,17:18:50,35802,0,-0.06,0.02,-0.24,1.9375,9.625,96.4375,0,0
10.05.2026,17:18:50,35856,0,-0.05,0,-0.29,1.9375,9.625,96.4375,0,0
10.05.2026,17:18:50,35910,0,-0.04,-0.02,-0.26,1.9375,9.625,96.4375,0,0
10.05.2026,17:18:50,35964,0,-0.04,0.02,-0.26,1.9375,9.625,90,0,0
10.05.2026,17:18:50,36018,0,-0.05,0.01,-0.26,1.9375,9.625,89.9375,0,0
10.05.2026,17:18:50,36072,0,-0.02,-0.02,-0.29,1.9375,9.625,89.9375,0,0
10.05.2026,17:18:50,36126,0,-0.21,0.13,-0.23,1.9375,9.625,90,0,0
10.05.2026,17:18:50,36180,0,0.06,-0.03,-0.34,1.9375,9.625,90,0,0
10.05.2026,17:18:50,36234,0,-0.14,0.09,-0.23,1.9375,9.625,90,0,0
10.05.2026,17:18:50,36288,0,0.01,0,-0.26,1.9375,9.625,89.9375,0,0
10.05.2026,17:18:50,36342,0,-0.14,0.01,-0.29,1.9375,9.625,89.9375,0,0
10.05.2026,17:18:50,36396,0,0,0.03,-0.24,1.9375,9.625,90,0,0
10.05.2026,17:18:50,36450,0,-0.11,0.01,-0.27,1.9375,9.625,90,0,0
10.05.2026,17:18:50,36504,0,0,0.04,-0.26,1.9375,9.625,89.9375,0,0
10.05.2026,17:18:50,36558,0,-0.05,0.03,-0.27,1.9375,9.625,89.9375,0,0
10.05.2026,17:18:50,36612,0,-0.01,0.04,-0.23,1.9375,9.625,89.9375,0,0
10.05.2026,17:18:50,36666,0,-0.06,0.01,-0.22,1.9375,9.625,89.9375,0,0
10.05.2026,17:18:50,36720,0,-0.07,0.03,-0.25,1.9375,9.625,89.9375,0,0
10.05.2026,17:18:50,36774,0,-0.07,0.03,-0.25,1.9375,9.6875,89.9375,0,0
10.05.2026,17:18:50,36828,0,-0.06,0,-0.29,1.9375,9.6875,89.9375,0,0
10.05.2026,17:18:50,36882,0,-0.04,-0.03,-0.23,1.9375,9.6875,89.9375,0,0
10.05.2026,17:18:50,36936,0,0,0.02,-0.26,1.9375,9.6875,89.9375,0,0
10.05.2026,17:18:50,36990,0,-0.13,0.06,-0.26,1.9375,9.6875,89.9375,0,0
10.05.2026,17:18:50,37044,0,-0.01,-0.02,-0.26,1.9375,9.6875,89.9375,0,0
10.05.2026,17:18:50,37098,0,-0.12,0,-0.35,1.9375,9.6875,89.9375,0,0
10.05.2026,17:18:50,37152,0,0,0.05,-0.26,1.8125,9.6875,89.9375,0,0
10.05.2026,17:18:50,37206,0,-0.08,-0.03,-0.33,1.8125,9.75,89.9375,0,0
10.05.2026,17:18:50,37260,0,0.27,0.18,-0.23,1.9375,9.6875,90.0625,0,0
10.05.2026,17:18:50,37314,0,-0.05,-0.12,-0.12,2.25,9.5,91.1875,0,0
10.05.2026,17:18:50,37368,0,0.04,0.09,-0.24,2.5625,9.3125,91.5625,0,0
10.05.2026,17:18:50,37422,0,0.2,-0.04,-1.04,3.375,9.25,92.5625,0,0
10.05.2026,17:18:50,37476,0,0.35,0,-0.24,3.9375,9.125,93.3125,0,0
10.05.2026,17:18:50,37530,0,-0.01,0.05,-0.06,5.0625,9,95,0,0
10.05.2026,17:18:50,37584,0,0.24,0.26,-0.4,6.5,8.75,96.9375,0,0
10.05.2026,17:18:50,37638,0,-0.01,0.32,-0.18,7.0625,8.6875,98.0625,0,0
10.05.2026,17:18:50,37692,0,-0.07,0.23,-0.42,8.1875,8.6875,100.0625,0,0
10.05.2026,17:18:50,37746,0,-0.38,0.49,-0.38,9.0625,8.4375,102.5,0,0
10.05.2026,17:18:50,37800,0,-0.3,0.32,-0.15,9.3125,8.4375,103.5,0,0
10.05.2026,17:18:50,37854,0,-0.07,0.36,-0.3,9.875,8.125,105.9375,0,0
10.05.2026,17:18:50,37908,0,0.01,0.37,-0.34,10.25,8,107.875,0,0
10.05.2026,17:18:50,37962,0,-0.03,0.54,-0.22,10.3125,7.9375,109.125,0,0
10.05.2026,17:18:50,38016,0,-0.25,0.45,-0.13,10.4375,7.8125,111.3125,0,0
10.05.2026,17:18:50,38070,0,-0.34,0.54,-0.17,10.625,7.6875,112.375,0,0
10.05.2026,17:18:50,38124,0,-0.09,0.44,-0.22,10.875,7.25,114.375,0,0
10.05.2026,17:18:50,38178,0,-0.14,0.43,-0.24,11.0625,7.125,115.875,0,0
10.05.2026,17:18:50,38232,0,-0.02,0.47,-0.19,11.0625,7.0625,116.6875,0,0
10.05.2026,17:18:50,38286,0,0.04,0.29,-0.18,11.1875,6.9375,117.8125,0,0
10.05.2026,17:18:50,38340,0,-0.31,0.5,-0.29,11.3125,7,117.9375,0,0
10.05.2026,17:18:50,38394,0,-0.31,0.31,-0.33,11.375,6.9375,117.125,0,0
10.05.2026,17:18:50,38448,0,-0.08,0.52,-0.33,11.125,6.75,116.375,0,0
10.05.2026,17:18:50,38502,0,-0.13,0.34,-0.1,10.8125,6.875,114.6875,0,0
10.05.2026,17:18:50,38556,0,-0.21,0.37,-0.18,10.75,7,113.3125,0,0
10.05.2026,17:18:50,38610,0,0.05,0,-0.13,10.625,7.1875,110.625,0,0
10.05.2026,17:18:50,38664,0,-0.07,0.3,-0.19,10.625,7.375,109,0,0
10.05.2026,17:18:50,38718,0,-0.03,-0.43,-0.14,10.5625,8.0625,105.5,0,0
10.05.2026,17:18:50,38772,0,0,0.85,-0.39,10.5,8.75,102.0625,0,0
10.05.2026,17:18:50,38826,0,-0.03,0.18,-0.08,10.3125,9.25,99.9375,0,0
10.05.2026,17:18:50,38880,0,0.43,0.17,-0.19,9.9375,10.25,95.5625,0,0
10.05.2026,17:18:50,38934,0,0.19,0.03,-0.21,9.625,10.875,92,0,0
10.05.2026,17:18:50,38988,0,0.05,-0.01,-0.11,9.375,11.125,90.3125,0,0
10.05.2026,17:18:50,39042,0,-0.62,0.14,-0.64,8.625,10.75,87.875,0,0
