Log_Date,Log_Time,Time,Depth,Ax,Ay,Az,pitch,roll,yaw,velocityx,velocityy,velocityz,distancex,distancey,distancez,rpm,rudderangle,sternangle
02.08.2026,05:03:22,4770,0,-0.03,-0.03,-0.41,-10.4375,-2.3125,270,0,0,0,0,0,0,0,0,-16.74887
02.08.2026,05:03:22,4876,0,-0.25,-0.08,-0.25,-10.4375,-2.5,270,0,0,0,0,0,0,0,0,-16.6875
02.08.2026,05:03:22,4982,0,0,-0.08,-0.5,-10.5,-2.5625,270.0625,0,0,0,0,0,0,0,0.34375,-16.5
02.08.2026,05:03:22,5088,0,0.26,0.03,-0.3,-10.5625,-2.6875,270.0625,0,0,0,0,0,0,0,0.1875,-16.3125
02.08.2026,05:03:22,5194,0,0.26,-0.11,-0.2,-10.5625,-2.8125,270.125,0,0,0,0,0,0,0,0.1875,-16.3125
02.08.2026,05:03:22,5300,0.003068,0.44,-0.08,-0.36,-10.4375,-2.8125,270.125,0,0,0,0,0,0,0,0.375,-16.3159
02.08.2026,05:03:22,5406,0.002046,-0.35,-0.1,0.21,-10.3125,-2.9375,270.125,0,0,0,0,0,0,0,0.375,-17.0591
02.08.2026,05:03:22,5512,0,0.32,0.12,-0.35,-10.3125,-3.125,270.125,0,0,0,0,0,0,0,0.375,-17.0625
02.08.2026,05:03:22,5618,0,0.45,0.14,-0.81,-10.375,-3.0625,270.0625,0,0,0,0,0,0,0,0.375,-17.0625
02.08.2026,05:03:22,5724,0,0.17,0,0.11,-10.5,-2.9375,269.9375,0,0,0,0,0,0,0,-0.34375,-16.6875
02.08.2026,05:03:22,5830,0,0.31,-0.02,-0.29,-10.5,-2.6875,269.8125,0,0,0,0,0,0,0,-0.5625,-16.5
02.08.2026,05:03:22,5936,0,-0.03,-0.16,-0.15,-10.4375,-2.5625,269.8125,0,0,0,0,0,0,0,-0.5625,-16.6875
02.08.2026,05:03:22,6042,0,0.01,-0.14,-0.3,-10.125,-2.6875,269.6875,0,0,0,0,0,0,0,-0.9375,-17.59375
02.08.2026,05:03:22,6148,0,0.07,-0.23,-0.66,-10.125,-3.125,269.4375,0,0,0,0,0,0,0,-1.84375,-17.625
02.08.2026,05:03:22,6254,0,-0.57,0.36,-0.26,-10.375,-3.5,269.0625,0,0,0,0,0,0,0,-2.96875,-16.5625
02.08.2026,05:03:22,6360,0,0.66,0.23,-0.96,-10.75,-2.5,268.9375,0,0,0,0,0,0,0,-3.1875,-15.4375
02.08.2026,05:03:22,6466,0,0.25,1.15,-0.56,-11.5625,-4.125,268.9375,0,0,0,0,0,0,0,-3.1875,-12.375
02.08.2026,05:03:22,6572,0.007159,-0.3,1.68,-0.66,-12.125,-11.9375,268.875,0,0,0,0,0,0,0,-3,-11.54315
02.08.2026,05:03:22,6678,0.031706,1.54,-2.71,-5.11,-11.625,-18.5625,268.375,0,0,0,0,0,0,0,-4.3125,-11.4511
02.08.2026,05:03:22,6784,0.109438,3.04,-9.29,-6.3,-9.75,-20.125,268.0625,0,0,0,0,0,0,0,-6.125,-8.927963
02.08.2026,05:03:22,6890,0.113529,1,0.43,1.32,-11.625,-16.625,268.125,0,0,0,0,0,0,0,-5.46875,-6.100357
02.08.2026,05:03:22,6996,0.268992,-0.68,-0.67,0.84,-16.5,-12.0625,267.875,0,0,0,0,0,0,0,-6.6875,18.31269
02.08.2026,05:03:22,7102,0.342633,0.28,-0.64,0.79,-19.9375,-11.9375,267.5625,0,0,0,0,0,0,0,-7.625,24.8007
02.08.2026,05:03:22,7208,0.381499,-0.73,-1.19,0.37,-20.8125,-16.375,267.4375,0,0,0,0,0,0,0,-7.84375,25.49207
02.08.2026,05:03:22,7314,0.414228,-0.6,-1.2,0.62,-20.5,-23.375,267.6875,0,0,0,0,0,0,0,-6.625,25.88482
02.08.2026,05:03:22,7420,0.454116,-1.07,-1.06,1.01,-19.5625,-29.9375,267.9375,0,0,0,0,0,0,0,-6.03125,25.09177
02.08.2026,05:03:22,7526,0.463321,-0.56,-0.88,1.1,-17.5625,-33.9375,268.625,0,0,0,0,0,0,0,-4.5,21.07704
02.08.2026,05:03:22,7632,0.492982,0.51,-0.97,0.91,-16,-31.8125,269.5,0,0,0,0,0,0,0,-2.4375,11.95969
02.08.2026,05:03:22,7738,0.534916,-0.14,-0.8,1,-14.5625,-27.25,270.75,0,0,0,0,0,0,0,0.9375,13.90323
02.08.2026,05:03:22,7844,0.597306,0.82,-0.77,0.25,-13.5,-23.125,272.1875,0,0,0,0,0,0,0,7.65625,11.41805
02.08.2026,05:03:22,7950,0.588101,0.58,-0.71,0.43,-12.5625,-21.125,273.75,0,0,0,0,0,0,0,11.25,5.121326
02.08.2026,05:03:22,8056,0.585033,0.82,-0.44,0.56,-11.375,-22,275.5,0,0,0,0,0,0,0,15,5.169189
02.08.2026,05:03:22,8162,0.623899,1.01,-0.6,0.31,-10.5,-24.4375,276.5625,0,0,0,0,0,0,0,20.78125,3.740841
02.08.2026,05:03:22,8268,0.610602,-0.03,-0.56,0.72,-9.8125,-26.75,277.4375,0,0,0,0,0,0,0,23.09375,0.260101
02.08.2026,05:03:22,8374,0.575828,0.82,-0.56,1.3,-9.1875,-28.4375,278.375,0,0,0,0,0,0,0,25.90625,-5.717903
02.08.2026,05:03:22,8480,0.600375,0.23,-0.29,0.62,-8.5625,-28.5,279.1875,0,0,0,0,0,0,0,28.1875,-3.07959
02.08.2026,05:03:22,8586,0.567645,-0.58,-0.34,0.04,-8.25,-27.5,280.3125,0,0,0,0,0,0,0,30.375,-8.49688
02.08.2026,05:03:22,8692,0.559463,0.38,-0.39,0.08,-8.0625,-26.1875,281,0,0,0,0,0,0,0,33.3125,-7.586578
02.08.2026,05:03:22,8798,0.482754,0.35,-0.3,0.05,-8.1875,-24.875,281.5,0,0,0,0,0,0,0,34.96875,-12.9409
02.08.2026,05:03:22,8904,0.519575,1.1,-0.24,0.43,-8.25,-24.1875,281.875,0,0,0,0,0,0,0,35.625,-5.361496
02.08.2026,05:03:22,9010,0.519575,0.43,-0.14,0.44,-8.1875,-24.5,282.1875,0,0,0,0,0,0,0,36.375,-4.904648
02.08.2026,05:03:22,9116,0.474572,-0.31,-0.11,-0.28,-8.0625,-25.4375,282.3125,0,0,0,0,0,0,0,36.9375,-11.90389
02.08.2026,05:03:22,9222,0.432638,0.74,-0.19,-0.31,-8.0625,-26.3125,282.375,0,0,0,0,0,0,0,37.125,-12.73575
02.08.2026,05:03:22,9328,0.45923,-0.55,-0.17,-0.25,-8.0625,-26.6875,282.375,0,0,0,0,0,0,0,37.125,-10.64926
02.08.2026,05:03:22,9434,0.397863,-0.47,-0.15,-0.24,-8.1875,-26.375,282.3125,0,0,0,0,0,0,0,36.9375,-14.07619
02.08.2026,05:03:22,9540,0.39684,0.68,-0.12,-0.24,-8.5,-25.375,282.1875,0,0,0,0,0,0,0,36.75,-9.858948
02.08.2026,05:03:22,9646,0.426501,0.98,-0.2,-0.07,-8.6875,-24.8125,282.1875,0,0,0,0,0,0,0,36.5625,-9.179947
02.08.2026,05:03:22,9752,0.411159,-0.18,-0.03,0.15,-8.75,-24.75,282.125,0,0,0,0,0,0,0,36.21875,-11.25623
02.08.2026,05:03:22,9858,0.321154,-0.01,-0.3,0.08,-8.875,-25.125,282.0625,0,0,0,0,0,0,0,36.1875,-15.69572
02.08.2026,05:03:22,9964,0.401954,-0.01,-0.08,0.3,-9,-25.25,281.875,0,0,0,0,0,0,0,35.625,-10.72102
02.08.2026,05:03:22,10070,0.364111,-0.29,-0.07,-0.11,-9.3125,-25.1875,281.5625,0,0,0,0,0,0,0,34.875,-8.283424
02.08.2026,05:03:22,10176,0.317063,0.39,-0.04,-0.06,-9.625,-24.875,281.3125,0,0,0,0,0,0,0,34.125,-12.62349
02.08.2026,05:03:22,10282,0.296608,0.52,-0.09,-0.5,-9.9375,-24.625,281,0,0,0,0,0,0,0,32.6875,-0.428528
02.08.2026,05:03:22,10388,0.351838,0.11,-0.06,-0.36,-10.25,-24.5625,280.75,0,0,0,0,0,0,0,31.9375,-3.756042
02.08.2026,05:03:22,10494,0.325245,-0.48,-0.09,-0.57,-10.75,-24.4375,280.1875,0,0,0,0,0,0,0,30.8125,-5.165314
02.08.2026,05:03:22,10600,0.277175,0.22,-0.05,-0.79,-11,-24.25,279.8125,0,0,0,0,0,0,0,29.5,-7.050697
02.08.2026,05:03:22,10706,0.292516,-0.32,0.06,-0.59,-11.3125,-24.4375,279.5625,0,0,0,0,0,0,0,28.53125,-9.212234
02.08.2026,05:03:22,10812,0.352861,0.29,-0.2,-0.43,-11.625,-24.6875,279.375,0,0,0,0,0,0,0,27.96875,2.19175
02.08.2026,05:03:22,10918,0.306835,-0.09,-0.1,-0.33,-11.9375,-25.125,279.1875,0,0,0,0,0,0,0,27.25,-2.424469
02.08.2026,05:03:22,11024,0.28638,-0.19,0.05,0,-12.25,-25.6875,278.9375,0,0,0,0,0,0,0,27,-3.760956
02.08.2026,05:03:22,11130,0.268992,0.06,0.04,0.08,-12.4375,-25.8125,278.6875,0,0,0,0,0,0,0,26.25,-1.489243
02.08.2026,05:03:22,11236,0.256719,-0.3,0.12,0.09,-12.5625,-25.6875,278.4375,0,0,0,0,0,0,0,25.15625,0.582985
02.08.2026,05:03:22,11342,0.283311,0.56,-0.04,-0.11,-12.875,-25.3125,278.25,0,0,0,0,0,0,0,24.59375,1.676739
02.08.2026,05:03:22,11448,0.36002,-0.4,0.02,-0.4,-13.125,-25.1875,278,0,0,0,0,0,0,0,24,2.175606
02.08.2026,05:03:22,11554,0.339564,-0.1,0.03,-0.23,-13.375,-24.75,277.625,0,0,0,0,0,0,0,23.0625,4.302963
02.08.2026,05:03:22,11660,0.347747,0.43,-0.06,-0.52,-13.75,-24.375,277.3125,0,0,0,0,0,0,0,22.125,5.271149
02.08.2026,05:03:22,11766,0.338542,0.88,-0.17,-0.44,-14.0625,-24.375,276.9375,0,0,0,0,0,0,0,20.34375,1.667488
02.08.2026,05:03:22,11872,0.370248,-0.42,-0.02,-0.46,-14.4375,-24.4375,276.5625,0,0,0,0,0,0,0,19.21875,6.180134
02.08.2026,05:03:22,11978,0.325245,-0.11,0,-0.36,-14.6875,-24.3125,276.1875,0,0,0,0,0,0,0,18.40625,9.2314
02.08.2026,05:03:22,12084,0.412182,0.62,-0.03,0.14,-14.9375,-24.25,275.8125,0,0,0,0,0,0,0,17.28125,8.226208
02.08.2026,05:03:22,12190,0.368202,-0.02,0.01,0.09,-15.125,-24.3125,275.5625,0,0,0,0,0,0,0,16.53125,11.36953
02.08.2026,05:03:22,12296,0.434683,0.24,-0.04,-0.15,-15.1875,-24.25,275.3125,0,0,0,0,0,0,0,15.78125,6.736874
02.08.2026,05:03:22,12402,0.408091,0.4,0.11,-0.45,-15.25,-24.0625,274.9375,0,0,0,0,0,0,0,14.8125,11.86726
02.08.2026,05:03:22,12508,0.470481,0.6,-0.04,-0.36,-15.3125,-24.125,274.625,0,0,0,0,0,0,0,13.875,13.9543
02.08.2026,05:03:22,12614,0.480709,-0.51,-0.03,-0.26,-15.5625,-24.5,274.25,0,0,0,0,0,0,0,12.9375,15.49868
02.08.2026,05:03:22,12720,0.545144,0.39,-0.07,-0.54,-15.6875,-24.9375,274,0,0,0,0,0,0,0,12.375,10.8109
02.08.2026,05:03:22,12826,0.568668,0.67,-0.08,0,-15.75,-25.25,273.8125,0,0,0,0,0,0,0,11.28125,17.72149
02.08.2026,05:03:22,12932,0.545144,0.25,-0.02,-0.19,-15.8125,-25.125,273.6875,0,0,0,0,0,0,0,11.0625,21.16145
02.08.2026,05:03:22,13038,0.536962,-0.51,0.02,-0.17,-15.75,-24.1875,273.4375,0,0,0,0,0,0,0,10.34375,18.45789
02.08.2026,05:03:22,13144,0.581964,0.12,0.1,-0.16,-15.6875,-23.3125,273.1875,0,0,0,0,0,0,0,9.40625,17.40842
02.08.2026,05:03:22,13250,0.619807,-0.57,0.06,-0.33,-15.5625,-22.75,272.9375,0,0,0,0,0,0,0,8.5,13.78097
02.08.2026,05:03:22,13356,0.601397,-0.41,-0.04,-0.45,-15.4375,-22.6875,272.625,0,0,0,0,0,0,0,7.5625,17.48688
02.08.2026,05:03:22,13462,0.605488,0.18,-0.16,-0.44,-15.3125,-22.9375,272.3125,0,0,0,0,0,0,0,6.625,21.49963
02.08.2026,05:03:22,13568,0.680152,0.77,0.06,0.11,-15.125,-23.0625,271.8125,0,0,0,0,0,0,0,5.8125,16.9511
02.08.2026,05:03:22,13674,0.65765,-0.29,0.17,0.45,-15,-23.0625,271.5625,0,0,0,0,0,0,0,4.875,15.01124
02.08.2026,05:03:22,13780,0.703676,0.47,0.12,0.44,-14.75,-22.9375,271.3125,0,0,0,0,0,0,0,4.125,14.26463
02.08.2026,05:03:22,13886,0.737428,0,0.19,0.23,-14.4375,-23,271.125,0,0,0,0,0,0,0,3.21875,15.60112
02.08.2026,05:03:22,13992,0.714926,0.24,0.06,-0.12,-14.125,-23.4375,270.9375,0,0,0,0,0,0,0,2.8125,18.70704
02.08.2026,05:03:22,14098,0.766066,0.41,-0.15,-0.45,-13.75,-23.75,270.8125,0,0,0,0,0,0,0,2.4375,18.53664
02.08.2026,05:03:22,14204,0.781407,0.35,-0.07,-0.14,-13.5,-23.625,270.6875,0,0,0,0,0,0,0,1.90625,15.39672
02.08.2026,05:03:22,14310,0.797772,0.79,-0.02,0.45,-13.25,-23.375,270.625,0,0,0,0,0,0,0,1.875,50
02.08.2026,05:03:22,14416,0.854025,-0.07,0.03,0.28,-13,-23.1875,270.5625,0,0,0,0,0,0,0,1.6875,50
02.08.2026,05:03:22,14522,0.794704,-0.26,0.22,-0.05,-12.5,-22.75,270.6875,0,0,0,0,0,0,0,1.875,50
02.08.2026,05:03:22,14628,0.851979,0.62,0.2,-0.14,-11.625,-22.5,270.8125,0,0,0,0,0,0,0,2.4375,50
02.08.2026,05:03:22,14734,0.875504,-0.39,0.08,0.3,-10.25,-23.125,270.9375,0,0,0,0,0,0,0,2.96875,50
02.08.2026,05:03:22,14840,0.896982,-0.48,0.17,0.71,-8.5,-23.875,270.9375,0,0,0,0,0,0,0,2.8125,50
02.08.2026,05:03:22,14946,0.909255,0.02,0.27,0.83,-6.9375,-24.4375,270.9375,0,0,0,0,0,0,0,2.8125,50
02.08.2026,05:03:22,15052,0.848911,0.4,0.11,1.03,-4.25,-24.5,271.0625,0,0,0,0,0,0,0,3.1875,50
02.08.2026,05:03:22,15158,0.814137,0.66,0.24,0.4,-2.4375,-24.125,271.0625,0,0,0,0,0,0,0,3.1875,50
02.08.2026,05:03:22,15264,0.814137,0.56,0.14,0.46,-0.4375,-23.5,271.0625,0,0,0,0,0,0,0,3.1875,50
02.08.2026,05:03:22,15370,0.814137,0.55,0,1.33,1.6875,-23,271,0,0,0,0,0,0,0,3,50
02.08.2026,05:03:22,15476,0.814137,0.4,0.16,1.59,3.8125,-22.625,270.9375,0,0,0,0,0,0,0,2.8125,50
02.08.2026,05:03:22,15582,0.814137,-0.64,0.18,0.65,6.4375,-22.4375,270.75,0,0,0,0,0,0,0,2.28125,50
02.08.2026,05:03:22,15688,0.814137,-0.95,0.19,0.83,8.625,-22.5,270.5,0,0,0,0,0,0,0,1.1875,50
02.08.2026,05:03:22,15794,0.814137,-0.07,0,1.07,10.5,-22.5625,270.1875,0,0,0,0,0,0,0,0.40625,50
02.08.2026,05:03:22,15900,0.814137,-0.66,0.17,1.07,12.5,-22.4375,269.875,0,0,0,0,0,0,0,-0.53125,39.50592
02.08.2026,05:03:22,16006,0.814137,0.41,-0.03,0.55,14.875,-21.75,269.4375,0,0,0,0,0,0,0,-1.5,25.13092
02.08.2026,05:03:22,16112,0.814137,0.39,0.03,0.61,16.6875,-21.3125,269.1875,0,0,0,0,0,0,0,-2.25,16.13092
02.08.2026,05:03:22,16218,0.814137,0.37,-0.04,1.39,18.6875,-21.5,268.875,0,0,0,0,0,0,0,-3,0.63092
02.08.2026,05:03:22,16324,0.814137,-0.08,-0.09,1.32,20.25,-22.125,268.1875,0,0,0,0,0,0,0,-6.21875,-10.86908
02.08.2026,05:03:22,16430,0.814137,0.02,-0.08,0.35,21.5625,-23,267.3125,0,0,0,0,0,0,0,-8.84375,-31.74408
02.08.2026,05:03:22,16536,0.814137,0.68,-0.23,-2.19,20.75,-24.5,266.6875,0,0,0,0,0,0,0,-9.875,-25.99408
02.08.2026,05:03:22,16642,0.814137,2.64,0.4,-4.9,16.25,-28,266.75,0,0,0,0,0,0,0,-9.59375,14.63092
02.08.2026,05:03:22,16748,0.814137,4.22,0.43,-5.52,6.875,-35.5625,267.8125,0,0,0,0,0,0,0,-5.3125,50
02.08.2026,05:03:22,16854,0.814137,2.22,1.62,-3.66,-6.1875,-42.75,271,0,0,0,0,0,0,0,5.5,50
02.08.2026,05:03:22,16960,0.814137,-0.32,0.77,0.26,-14.0625,-41.125,273.8125,0,0,0,0,0,0,0,13.46875,50
02.08.2026,05:03:22,17066,0.814137,0.99,0.97,0.89,-14.4375,-23.625,276.25,0,0,0,0,0,0,0,17.25,50
02.08.2026,05:03:22,17172,0.814137,1.25,0.57,0.13,-13.3125,-8.9375,277.8125,0,0,0,0,0,0,0,21.9375,50
02.08.2026,05:03:22,17278,0.814137,0.89,0.01,-0.35,-11.6875,-3.375,278.5,0,0,0,0,0,0,0,25.8125,50
02.08.2026,05:03:22,17384,0.814137,1.29,-0.05,0.02,-9.9375,-7.4375,277.8125,0,0,0,0,0,0,0,23.4375,50
02.08.2026,05:03:22,17490,0.814137,-0.7,-0.34,1.01,-6.75,-21.0625,275.625,0,0,0,0,0,0,0,18.5625,50
02.08.2026,05:03:22,17596,0.814137,-1.33,-0.65,1.29,-3.8125,-29.6875,273.9375,0,0,0,0,0,0,0,13.125,50
