Log_Date,Log_Time,Time,Depth,Ax,Ay,Az,pitch,roll,yaw,velocityx,velocityy,velocityz,distancex,distancey,distancez,rpm,rudderangle,sternangle
02.08.2026,05:03:22,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-40
02.08.2026,05:03:22,2226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-40
02.08.2026,05:03:22,2332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-40
02.08.2026,05:03:22,2438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-40
02.08.2026,05:03:22,2544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-40
02.08.2026,05:03:22,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-40
02.08.2026,05:03:22,2756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-40
02.08.2026,05:03:22,4770,0,-0.03,-0.03,-0.41,-10.4375,-2.3125,270,0,0,0,0,0,0,0,0,-16.74887
02.08.2026,05:03:22,4876,0,-0.25,-0.08,-0.25,-10.4375,-2.5,270,0,0,0,0,0,0,0,0,-16.6875
02.08.2026,05:03:22,4982,0,0,-0.08,-0.5,-10.5,-2.5625,270.0625,0,0,0,0,0,0,0,0.34375,-16.5
02.08.2026,05:03:22,5088,0,0.26,0.03,-0.3,-10.5625,-2.6875,270.0625,0,0,0,0,0,0,0,0.1875,-16.3125
02.08.2026,05:03:22,5194,0,0.26,-0.11,-0.2,-10.5625,-2.8125,270.125,0,0,0,0,0,0,0,0.1875,-16.3125
02.08.2026,05:03:22,5300,0.003068,0.44,-0.08,-0.36,-10.4375,-2.8125,270.125,0,0,0,0,0,0,0,0.375,-16.3159
02.08.2026,05:03:22,5406,0.002046,-0.35,-0.1,0.21,-10.3125,-2.9375,270.125,0,0,0,0,0,0,0,0.375,-17.0591
02.08.2026,05:03:22,5512,0,0.32,0.12,-0.35,-10.3125,-3.125,270.125,0,0,0,0,0,0,0,0.375,-17.0625
02.08.2026,05:03:22,5618,0,0.45,0.14,-0.81,-10.375,-3.0625,270.0625,0,0,0,0,0,0,0,0.375,-17.0625
02.08.2026,05:03:22,5724,0,0.17,0,0.11,-10.5,-2.9375,269.9375,0,0,0,0,0,0,0,-0.34375,-16.6875
02.08.2026,05:03:22,5830,0,0.31,-0.02,-0.29,-10.5,-2.6875,269.8125,0,0,0,0,0,0,0,-0.5625,-16.5
02.08.2026,05:03:22,5936,0,-0.03,-0.16,-0.15,-10.4375,-2.5625,269.8125,0,0,0,0,0,0,0,-0.5625,-16.6875
02.08.2026,05:03:22,6042,0,0.01,-0.14,-0.3,-10.125,-2.6875,269.6875,0,0,0,0,0,0,0,-0.9375,-17.59375
02.08.2026,05:03:22,6148,0,0.07,-0.23,-0.66,-10.125,-3.125,269.4375,0,0,0,0,0,0,0,-1.84375,-17.625
02.08.2026,05:03:22,6254,0,-0.57,0.36,-0.26,-10.375,-3.5,269.0625,0,0,0,0,0,0,0,-2.96875,-16.5625
02.08.2026,05:03:22,6360,0,0.66,0.23,-0.96,-10.75,-2.5,268.9375,0,0,0,0,0,0,0,-3.1875,-15.4375
02.08.2026,05:03:22,6466,0,0.25,1.15,-0.56,-11.5625,-4.125,268.9375,0,0,0,0,0,0,0,-3.1875,-12.375
02.08.2026,05:03:22,6572,0.007159,-0.3,1.68,-0.66,-12.125,-11.9375,268.875,0,0,0,0,0,0,0,-3,-11.54315
02.08.2026,05:03:22,6678,0.031706,1.54,-2.71,-5.11,-11.625,-18.5625,268.375,0,0,0,0,0,0,0,-4.3125,-11.4511
02.08.2026,05:03:22,6784,0.109438,3.04,-9.29,-6.3,-9.75,-20.125,268.0625,0,0,0,0,0,0,0,-6.125,-8.927963
02.08.2026,05:03:22,6890,0.113529,1,0.43,1.32,-11.625,-16.625,268.125,0,0,0,0,0,0,0,-5.46875,-6.100357
02.08.2026,05:03:22,6996,0.268992,-0.68,-0.67,0.84,-16.5,-12.0625,267.875,0,0,0,0,0,0,0,-6.6875,18.31269
02.08.2026,05:03:22,7102,0.342633,0.28,-0.64,0.79,-19.9375,-11.9375,267.5625,0,0,0,0,0,0,0,-7.625,24.8007
02.08.2026,05:03:22,7208,0.381499,-0.73,-1.19,0.37,-20.8125,-16.375,267.4375,0,0,0,0,0,0,0,-7.84375,25.49207
02.08.2026,05:03:22,7314,0.414228,-0.6,-1.2,0.62,-20.5,-23.375,267.6875,0,0,0,0,0,0,0,-6.625,25.88482
02.08.2026,05:03:22,7420,0.454116,-1.07,-1.06,1.01,-19.5625,-29.9375,267.9375,0,0,0,0,0,0,0,-6.03125,25.09177
02.08.2026,05:03:22,7526,0.463321,-0.56,-0.88,1.1,-17.5625,-33.9375,268.625,0,0,0,0,0,0,0,-4.5,21.07704
02.08.2026,05:03:22,7632,0.492982,0.51,-0.97,0.91,-16,-31.8125,269.5,0,0,0,0,0,0,0,-2.4375,11.95969
02.08.2026,05:03:22,7738,0.534916,-0.14,-0.8,1,-14.5625,-27.25,270.75,0,0,0,0,0,0,0,0.9375,13.90323
02.08.2026,05:03:22,7844,0.597306,0.82,-0.77,0.25,-13.5,-23.125,272.1875,0,0,0,0,0,0,0,7.65625,11.41805
02.08.2026,05:03:22,7950,0.588101,0.58,-0.71,0.43,-12.5625,-21.125,273.75,0,0,0,0,0,0,0,11.25,5.121326
02.08.2026,05:03:22,8056,0.585033,0.82,-0.44,0.56,-11.375,-22,275.5,0,0,0,0,0,0,0,15,5.169189
02.08.2026,05:03:22,8162,0.623899,1.01,-0.6,0.31,-10.5,-24.4375,276.5625,0,0,0,0,0,0,0,20.78125,3.740841
02.08.2026,05:03:22,8268,0.610602,-0.03,-0.56,0.72,-9.8125,-26.75,277.4375,0,0,0,0,0,0,0,23.09375,0.260101
02.08.2026,05:03:22,8374,0.575828,0.82,-0.56,1.3,-9.1875,-28.4375,278.375,0,0,0,0,0,0,0,25.90625,-5.717903
