Log_Date,Log_Time,Time,Depth,Ax,Ay,Az,pitch,roll,yaw,velocityx,velocityy,velocityz,distancex,distancey,distancez,rpm,rudderangle,sternangle
02.08.2026,05:59:54,31800,0.162623,0.02,0.04,-0.26,-10.6875,-8.875,270,0,0,0,0,0,0,0,0,6.606495
02.08.2026,05:59:54,31906,0.156486,0.5,0.04,-0.34,-10.75,-9.125,270.125,0,0,0,0,0,0,0,0.375,6.484329
02.08.2026,05:59:54,32012,0.159554,-0.2,0.06,-0.26,-10.75,-9.4375,270.1875,0,0,0,0,0,0,0,0.5625,6.975266
02.08.2026,05:59:54,32118,0.1616,0.1,0.03,-0.29,-10.6875,-9.3125,270.125,0,0,0,0,0,0,0,0.375,7.217335
02.08.2026,05:59:54,32224,0.166714,0.31,0.02,-0.33,-10.6875,-9.125,270.125,0,0,0,0,0,0,0,0.375,6.453079
02.08.2026,05:59:54,32330,0.158532,-0.05,0.11,-0.14,-10.75,-9.625,270.1875,0,0,0,0,0,0,0,0.375,6.515011
02.08.2026,05:59:54,32436,0.159554,-0.13,-0.03,-0.18,-10.6875,-9.5,270.25,0,0,0,0,0,0,0,0.75,6.883217
02.08.2026,05:59:54,32542,0.162623,-0.3,-0.12,-0.27,-10.4375,-9.375,270.125,0,0,0,0,0,0,0,0.5625,6.286633
02.08.2026,05:59:54,32648,0.167737,0.35,0.02,-0.16,-10.1875,-9.375,269.875,0,0,0,0,0,0,0,-0.53125,4.272373
02.08.2026,05:59:54,32754,0.166714,0.27,-0.04,-0.04,-10.1875,-9.1875,269.5,0,0,0,0,0,0,0,-1.8125,5.226395
02.08.2026,05:59:54,32860,0.157509,-0.05,-0.06,-0.27,-10.3125,-9.0625,269.3125,0,0,0,0,0,0,0,-2.21875,4.922962
02.08.2026,05:59:54,32966,0.163646,1.35,0.05,-0.8,-10.375,-9.1875,269.1875,0,0,0,0,0,0,0,-2.4375,6.681549
02.08.2026,05:59:54,33072,0.155463,-0.64,-0.08,-0.28,-10.375,-9.125,269,0,0,0,0,0,0,0,-3.15625,5.81675
02.08.2026,05:59:54,33178,0.165691,0.45,-0.33,-0.29,-10.5,-8,268.9375,0,0,0,0,0,0,0,-3.1875,6.933819
02.08.2026,05:59:54,33284,0.159554,0.75,-0.36,-0.77,-10.875,-9.3125,268.625,0,0,0,0,0,0,0,-4.125,7.35593
02.08.2026,05:59:54,33390,0.169782,0.71,-0.82,-1.13,-11.4375,-13.125,268.625,0,0,0,0,0,0,0,-4.5,10.10489
02.08.2026,05:59:54,33496,0.206602,1.32,-1.85,-3.13,-11.125,-13,269.125,0,0,0,0,0,0,0,-3.1875,10.68788
